country,industry_shares_2000,industry_shares_2025,manufacturing_shares_2000,manufacturing_shares_2025,industry_CAGR,manufacturing_CAGR,gdp_CAGR
Australia,23.557569036990937,20.345678861338968,9.072380612568738,5.054557265411583,2.024638509140053,0.25126711250835765,2.6245808069910392
Belgium,21.53853746938146,17.687074184017916,14.416948894141296,11.23336204786285,0.7072429395317492,0.4959525166022605,1.503990183925774
United States,,14.99427386685828,,9.408009857871955,,,2.0313343170216713
Canada,27.25476925514197,22.49402650946371,14.911455476020263,8.650198082469764,1.058438371011472,-0.35676109256493893,1.8374685492964948
Mexico,34.02733211935235,29.019503028775407,22.121813124146314,20.035833932600877,0.7929957674485788,1.0358126258316114,1.4368771886796194
Brazil,22.230474422322153,17.722879118136454,13.651656854267493,9.279553344351875,1.2459785761395281,0.6023275974998965,2.1678750068841124
Germany,27.16592546052423,23.254361021920612,18.68677998936561,19.33157993444296,0.3477266930061784,1.1108257408017908,0.9737166406628806
France,19.828074843677786,15.806431636192187,11.336556692807639,9.879123785557232,0.27272965639684177,0.6306311598932135,1.186064773719564
Italy,23.84221191993923,21.570497025729296,15.546134057512218,14.012817296394802,-0.03686420603957741,-0.05169141761180995,0.3643154876251886
Denmark,25.03025888179683,25.455250906430166,13.299671543382349,20.72265185066932,1.3672196690509564,3.1120045101620475,1.2989754949484844
Finland,25.594191990208763,21.76293300479064,16.722792322659352,14.035363538147957,0.393369880948069,0.34103746548681535,1.0466668328629636
Netherlands,19.94378349842229,17.54659826792228,10.3886723401186,11.123396602268064,0.899920673520338,1.6956799607552808,1.418085859716367
United Kingdom,22.699082578919043,16.404327915400817,9.06230504027518,9.270942553201747,0.14457591678362913,1.5464709228295126,1.4540588151315204
South Africa,28.262800619684807,19.978998403469337,14.69519469126974,11.215321031014987,0.6179780871722329,0.9268455954410726,2.023741255639111
China,36.46403057016418,37.706850741921386,,17.32199358051695,7.948496820286333,,7.803875936411897
Japan,31.13847283370012,30.19256797205072,19.606466101911195,21.846463957495263,0.45517014773295283,1.015369562007118,0.5792015958639096
Turkiye,24.28172995174327,25.128567124965617,15.40834727310397,16.335985733527643,4.881116025769239,4.98260559784085,4.737396910008784
